1514419200000,33213475,1540.44,40118532,1150.38,77757865,1132.56,46565646,934.20,79437344,774.18,78124169,700.50,56606505,687.39,43678268,680.30,46743487,607.20,50709689,518.10|lat:753
1515024000000,64646953,1347.84,76165388,1037.40,69563353,938.64,69745052,936.00,34419602,910.26,51878992,758.70,74662660,730.41,59003930,705.66,40118532,661.11,66076737,616.56|lat:760
1515628800000,63651819,960.10,64354920,946.89,65614411,851.85,57916836,851.40,60674711,820.83,38331232,805.80,33421419,771.54,54609914,689.16,84321641,659.46,73512218,647.21|lat:1257
1516233600000,56825716,833.70,48038238,805.32,81039269,713.87,54291020,712.92,38331232,692.79,44784364,665.73,1067566,629.76,79666928,614.58,106834,613.92,76012420,580.26|lat:689
1516838400000,12582762,1104.90,12949267,1074.23,57048689,1065.60,25504325,999.20,1927937,930.39,2073520,906.00,67691516,819.84,40118532,711.60,23078829,694.10,9271683,673.32|lat:835
1517443200000,4120391,1005.63,49906049,959.43,40118532,938.97,70590156,927.75,35560173,874.29,63119682,828.42,1706461,799.38,77954107,780.00,2258463,769.35,62266564,749.22|lat:741
1518048000000,54196735,1034.67,64397379,896.73,64889900,876.93,51598241,852.18,16909483,845.58,45840695,796.74,32300834,755.82,51878992,748.50,66221729,689.16,58193603,685.86|lat:970
1518652800000,920052,886.50,67416055,862.74,67701793,777.93,69555093,764.07,12802407,703.68,65820219,691.14,38331232,685.53,67291819,670.68,60025659,666.72,43644377,663.30|lat:804
1519257600000,72050670,1376.55,79751302,1065.03,35980718,1041.60,28368780,981.54,34740606,978.57,66581027,852.84,65241670,838.32,72040400,810.93,60143183,783.54,34228721,774.30|lat:1104
1519862400000,18868541,36.00,66732933,24.90,35757574,24.10,50094963,23.30,68399181,21.60,8203131,20.13,76260219,19.80,55183575,17.40,51878992,17.40,68521406,16.50|lat:331
1520467200000,67961891,11.80,10329685,10.60,68079354,8.10,66685223,7.90,84492781,7.80,18234515,7.30,59689153,6.30,72920371,5.10,69280534,4.90,41847830,4.80|lat:222
1521072000000,67590681,6.00,63103986,2.10,30166365,1.50,12626070,1.50,68805985,1.40,48410400,1.20,9549801,0.90,1184284,0.90,66441569,0.90,32496968,0.70|lat:361
1521676800000,66180994,2.40,85372754,2.10,421955,1.40,74779631,1.40,11237620,1.20,76885022,1.20,40957453,1.20,46946261,1.20,3959098,1.20,58602547,1.00|lat:287
1522281600000,57320526,3.00,66140900,1.90,67711219,1.30,36218240,1.30,46148869,1.20,675571,1.20,26808051,1.20,788867,1.00,45189990,0.70,47249146,0.70|lat:265
1522886400000,72389189,1.70,59105249,1.60,69106652,1.60,77809927,1.60,79194965,1.50,53165245,1.40,12858956,1.40,36218240,1.40,85565109,1.40,3630212,1.30|lat:236
